player1,player2
Jannik Sinner,Luca Nardi
Chun Hsin Tseng,Aleksandar Vukic
Pedro Martinez,George Loffhagen
Mariano Navone,Denis Shapovalov
Grigor Dimitrov,Yoshihito Nishioka
Francisco Comesana,Corentin Moutet
Sebastian Ofner,Hamad Medjedovic
Jacob Fearnley,Tommy Paul
Ben Shelton,Alex Bolt
Rinky Hijikata,David Goffin
Aleksandar Kovacevic,Marton Fucsovics
Gael Monfils,Ugo Humbert
Brandon Nakashima,Yibing Wu
Alexander Shevchenko,Reilly Opelka
Jaime Faria,Lorenzo Sonego
Nikoloz Basilashvili,Lorenzo Musetti
Jack Draper,Sebastian Baez
Raphael Collignon,Marin Cilic
James McCabe,Fabian Marozsan
Jaume Munar,Alexander Bublik
Flavio Cobolli,Beibit Zhukayev
Tomas Martin Etcheverry,Jack Pinnington Jones
Marcos Giron,Camilo Ugo Carabelli
Hugo Gaston,Jakub Mensik
Alex De Minaur,Roberto Carballes Baena
Arthur Cazaux,Adam Walton
Quentin Halys,August Holmgren
Damir Dzumhur,Tomas Machac
Alex Michelsen,Miomir Kecmanovic
Jesper De Jong,Christopher Eubanks
Daniel Evans,Jay Clarke
Alexandre Muller,Novak Djokovic
Taylor Fritz,Giovanni Mpetshi Perricard
Gabriel Diallo,Daniel Altmaier
Matteo Arnaldi,Botic Van De Zandschulp
Brandon Holt,Alejandro Davidovich Fokina
Alexei Popyrin,Arthur Fery
Luciano Darderi,Roman Safiullin
Vit Kopriva,Jordan Thompson
Benjamin Bonzi,Daniil Medvedev
Francisco Cerundolo,Nuno Borges
Billy Harris,Dusan Lajovic
Shintaro Mochizuki,Giulio Zeppieri
Mackenzie Mcdonald,Karen Khachanov
Matteo Berrettini,Kamil Majchrzak
Ethan Quinn,Henry Searle
Cristian Garin,Chris Rodesch
Arthur Rinderknech,Alexander Zverev
Holger Rune,Nicolas Jarry
Learner Tien,Nishesh Basavareddy
Jacob Fearnley,Joao Fonseca
Jenson Brooksby,Tallon Griekspoor
Jiri Lehecka,Hugo Dellien
Mattia Bellucci,Oliver Crawford
Cameron Norrie,Roberto Bautista Agut
Elias Ymer,Frances Tiafoe
Andrey Rublev,Laslo Djere
Zizou Bergs,Lloyd Harris
Adrian Mannarino,Christopher Oconnell
Valentin Royer,Stefanos Tsitsipas
Felix Auger Aliassime,James Duckworth
Jan Lennard Struff,Filip Misolic
Oliver Tarvet,Leandro Riedi
Fabio Fognini,Carlos Alcaraz
